url,title,thumbnail
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-nocoronapolitics,#NoCoronaPolitics | Who is politicising lockdown violations?,15866882845e92f11c56098.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-9minutesforindia,#9MinutesForIndia,15861498895e8aba0176290.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-mediaforlockdown,#MediaForLockdown,15855111335e80fadd83c9d.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-finding2024oppn,#Finding2024Oppn | Is there a challenge to the BJP nationally?,15842614175e6de929b488b.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-riotersnotheroes,#RiotersNotHeroes,15836682615e64dc25e6e15.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-riotreality,#RiotReality,15830593115e5b916f5d603.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-saveelectoraldemocracy,#SaveElectoralDemocracy | 'Electoral' vs 'Participatory' democracy,15824497545e52445a2730b.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-rightthenewcentre,#RightTheNewCentre l Nationalism's primacy now universally accepted?,15818537255e492c1d22848.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-shaheenbaghmodel,#ShaheenBaghModel | Are politicians trying to creat a fear psychosis?,15812404485e3fd08049a1d.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-shaheenbaghworry,#ShaheenBaghWorry | Who wants Delhi on the boil?,15806516355e36d473533d7.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-azadidebate,#AzadiDebate | What are the Azadi slogans about?,15794320045e2438447d4e2.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-number-dontburncampuses,#DontBurnCampuses | Who is burning India's campuses?,15788360405e1b20487a9bc.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-dont-provoke-muslims,#DontProvokeMuslims | Creating paranoia to carve out a vote bank?,15782178885e11b1a0a0eb2.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-nrcnarcotest,Which side is lying on the #NRCNarcoTest?,15778101915e0b790f9b59d.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-whoprovokesindia,#WhoProvokesIndia | Who misled minorities on CAA+ NRC?,15778102275e0b793397deb.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-citizenwho,#CitizenWho | India for Indians or foreigners?,15778103055e0b7981bf5c0.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-ideologymissing,#IdeologyMissing | Did all the parties dump their ideology for power?,15778112355e0b7d233a537.jpeg
